nohup: 忽略输入
Experiment dir : exp/joint_cl_exp/IMDB-BINARY-joint_cl_exp-20250122-113619
01/22 11:36:19 AM Namespace(add_mask=False, aug_ratio=0.2, batch_size=16, data_root='../data', dataset='IMDB-BINARY', dropout=0, edge_norm=True, epoch_select='test_max', epochs=300, exp='joint_cl_exp', global_pool='sum', gpu=5, hidden=128, lr=0.001, lr_decay_factor=1.0, lr_decay_step_size=20, n_fold=10, n_layers_conv=3, n_layers_fc=2, n_layers_feat=1, res_branch='BNConvReLU', save='exp/joint_cl_exp/IMDB-BINARY-joint_cl_exp-20250122-113619', seed=0, semi_split=10, skip_connection=False, with_eval_mode=True)
01/22 11:36:19 AM -----
Total 1 experiments in this run:
01/22 11:36:19 AM 1/1 - IMDB-BINARY - deg+odeg100 - ResGCN
01/22 11:36:19 AM -----
1/1 - IMDB-BINARY - deg+odeg100 - ResGCN
01/22 11:36:19 AM **********
01/22 11:36:19 AM Fold: 0
01/22 11:36:19 AM Train size: 900
01/22 11:36:19 AM Semi size: 100
01/22 11:36:19 AM Test size: 100
01/22 11:36:21 AM **************************************************
01/22 11:37:20 AM Epoch: 126, Model Loss: 70.3401, Train Acc: 0.8100, Test Acc: 0.6000
01/22 11:37:20 AM Epoch: 127, Model Loss: 69.9246, Train Acc: 0.7500, Test Acc: 0.6000
01/22 11:37:21 AM Epoch: 128, Model Loss: 69.5081, Train Acc: 0.8600, Test Acc: 0.6800
01/22 11:37:21 AM Epoch: 129, Model Loss: 69.0765, Train Acc: 0.8200, Test Acc: 0.6300
01/22 11:37:22 AM Epoch: 130, Model Loss: 68.6604, Train Acc: 0.8900, Test Acc: 0.6800
01/22 11:37:22 AM Epoch: 131, Model Loss: 68.2472, Train Acc: 0.8800, Test Acc: 0.6700
01/22 11:37:23 AM Epoch: 132, Model Loss: 67.8347, Train Acc: 0.8600, Test Acc: 0.6700
01/22 11:37:23 AM Epoch: 133, Model Loss: 67.4248, Train Acc: 0.8100, Test Acc: 0.6100
01/22 11:37:24 AM Epoch: 134, Model Loss: 67.0193, Train Acc: 0.8000, Test Acc: 0.6300
01/22 11:37:24 AM Epoch: 135, Model Loss: 66.5981, Train Acc: 0.7600, Test Acc: 0.6300
01/22 11:37:25 AM Epoch: 136, Model Loss: 66.1864, Train Acc: 0.8700, Test Acc: 0.6600
01/22 11:37:25 AM Epoch: 137, Model Loss: 65.7698, Train Acc: 0.7900, Test Acc: 0.6000
01/22 11:37:26 AM Epoch: 138, Model Loss: 65.3693, Train Acc: 0.8900, Test Acc: 0.6600
01/22 11:37:26 AM Epoch: 139, Model Loss: 64.9991, Train Acc: 0.8500, Test Acc: 0.6300
01/22 11:37:27 AM Epoch: 140, Model Loss: 64.5956, Train Acc: 0.8900, Test Acc: 0.6700
01/22 11:37:27 AM Epoch: 141, Model Loss: 64.2322, Train Acc: 0.9000, Test Acc: 0.6500
01/22 11:37:28 AM Epoch: 142, Model Loss: 63.8673, Train Acc: 0.9100, Test Acc: 0.6600
01/22 11:37:28 AM Epoch: 143, Model Loss: 63.5137, Train Acc: 0.8200, Test Acc: 0.6400
01/22 11:37:29 AM Epoch: 144, Model Loss: 63.1212, Train Acc: 0.9000, Test Acc: 0.6700
01/22 11:37:29 AM Epoch: 145, Model Loss: 62.7470, Train Acc: 0.9000, Test Acc: 0.6700
01/22 11:37:29 AM Epoch: 146, Model Loss: 62.3735, Train Acc: 0.8800, Test Acc: 0.6400
01/22 11:37:30 AM Epoch: 147, Model Loss: 62.1802, Train Acc: 0.9000, Test Acc: 0.6700
01/22 11:37:30 AM Epoch: 148, Model Loss: 61.6214, Train Acc: 0.8900, Test Acc: 0.6600
01/22 11:37:31 AM Epoch: 149, Model Loss: 61.2603, Train Acc: 0.8200, Test Acc: 0.6600
01/22 11:37:31 AM Epoch: 150, Model Loss: 60.9120, Train Acc: 0.7600, Test Acc: 0.6000
01/22 11:37:32 AM Epoch: 151, Model Loss: 60.5630, Train Acc: 0.9100, Test Acc: 0.6800
01/22 11:37:32 AM Epoch: 152, Model Loss: 60.1984, Train Acc: 0.9100, Test Acc: 0.6900
01/22 11:37:33 AM Epoch: 153, Model Loss: 59.8509, Train Acc: 0.8800, Test Acc: 0.6600
01/22 11:37:33 AM Epoch: 154, Model Loss: 59.5009, Train Acc: 0.9400, Test Acc: 0.6100
01/22 11:37:34 AM Epoch: 155, Model Loss: 59.1623, Train Acc: 0.9100, Test Acc: 0.6300
01/22 11:37:34 AM Epoch: 156, Model Loss: 58.8249, Train Acc: 0.8600, Test Acc: 0.6000
01/22 11:37:35 AM Epoch: 157, Model Loss: 58.4780, Train Acc: 0.9400, Test Acc: 0.5800
01/22 11:37:35 AM Epoch: 158, Model Loss: 58.1246, Train Acc: 0.9300, Test Acc: 0.6000
01/22 11:37:36 AM Epoch: 159, Model Loss: 57.7801, Train Acc: 0.9400, Test Acc: 0.6600
01/22 11:37:37 AM Epoch: 160, Model Loss: 57.4274, Train Acc: 0.9200, Test Acc: 0.6600
01/22 11:37:37 AM Epoch: 161, Model Loss: 57.0924, Train Acc: 0.9300, Test Acc: 0.6800
01/22 11:37:38 AM Epoch: 162, Model Loss: 56.7585, Train Acc: 0.9300, Test Acc: 0.6800
01/22 11:37:38 AM Epoch: 163, Model Loss: 56.4159, Train Acc: 0.9200, Test Acc: 0.6700
01/22 11:37:39 AM Epoch: 164, Model Loss: 56.0867, Train Acc: 0.9400, Test Acc: 0.6200
01/22 11:37:39 AM Epoch: 165, Model Loss: 55.9832, Train Acc: 0.9300, Test Acc: 0.6800
01/22 11:37:40 AM Epoch: 166, Model Loss: 55.4223, Train Acc: 0.9400, Test Acc: 0.6500
01/22 11:37:40 AM Epoch: 167, Model Loss: 55.0767, Train Acc: 0.7700, Test Acc: 0.6200
01/22 11:37:41 AM Epoch: 168, Model Loss: 54.8069, Train Acc: 0.8600, Test Acc: 0.6100
01/22 11:37:41 AM Epoch: 169, Model Loss: 54.5293, Train Acc: 0.8400, Test Acc: 0.6400
01/22 11:37:42 AM Epoch: 170, Model Loss: 54.2389, Train Acc: 0.8300, Test Acc: 0.6300
01/22 11:37:42 AM Epoch: 171, Model Loss: 53.9331, Train Acc: 0.7900, Test Acc: 0.5900
01/22 11:37:43 AM Epoch: 172, Model Loss: 53.6231, Train Acc: 0.8200, Test Acc: 0.6200
01/22 11:37:43 AM Epoch: 173, Model Loss: 53.3161, Train Acc: 0.8500, Test Acc: 0.6400
01/22 11:37:43 AM Epoch: 174, Model Loss: 53.0012, Train Acc: 0.8700, Test Acc: 0.6800
01/22 11:37:44 AM Epoch: 175, Model Loss: 52.6913, Train Acc: 0.8900, Test Acc: 0.6500
01/22 11:37:44 AM Epoch: 176, Model Loss: 52.3829, Train Acc: 0.9100, Test Acc: 0.6700
01/22 11:37:45 AM Epoch: 177, Model Loss: 52.0713, Train Acc: 0.9200, Test Acc: 0.6700
01/22 11:37:45 AM Epoch: 178, Model Loss: 51.7633, Train Acc: 0.8300, Test Acc: 0.6400
01/22 11:37:45 AM Epoch: 179, Model Loss: 51.4502, Train Acc: 0.8900, Test Acc: 0.6500
01/22 11:37:46 AM Epoch: 180, Model Loss: 51.1794, Train Acc: 0.8900, Test Acc: 0.6400
01/22 11:37:46 AM Epoch: 181, Model Loss: 50.8635, Train Acc: 0.7000, Test Acc: 0.5900
01/22 11:37:47 AM Epoch: 182, Model Loss: 50.6114, Train Acc: 0.8700, Test Acc: 0.6100
01/22 11:37:47 AM Epoch: 183, Model Loss: 50.3557, Train Acc: 0.9200, Test Acc: 0.6600
01/22 11:37:47 AM Epoch: 184, Model Loss: 50.1320, Train Acc: 0.8800, Test Acc: 0.6500
01/22 11:37:48 AM Epoch: 185, Model Loss: 49.8888, Train Acc: 0.9200, Test Acc: 0.6600
01/22 11:37:48 AM Epoch: 186, Model Loss: 49.6245, Train Acc: 0.9200, Test Acc: 0.6400
01/22 11:37:49 AM Epoch: 187, Model Loss: 49.3464, Train Acc: 0.9200, Test Acc: 0.6500
01/22 11:37:49 AM Epoch: 188, Model Loss: 49.0637, Train Acc: 0.9100, Test Acc: 0.6500
01/22 11:37:49 AM Epoch: 189, Model Loss: 48.7810, Train Acc: 0.9000, Test Acc: 0.6400
